,serie,sMAPE_ESRNN,MAE_ESRNN,MAPE_ESRNN,RMSE_ESRNN,sMAPE_LGBM,MAE_LGBM,MAPE_LGBM,RMSE_LGBM,correlation,winner,new_trend_Acomulada
0,D1,1.2969438222360328,26.60316964285721,1.2875522090116025,28.2429238209192,19.341024160970385,363.6361828766112,17.634030983881825,363.87752428632587,0.8311262278970919,0,7
1,D2,0.9286564079164034,27.90071428571433,0.9198558251541245,40.54910628460154,1.2574484755836168,37.7919388905436,1.25651560156413,44.24854535971787,0.6287593814486729,0,5
2,D6,5.118614279525518,164.39606785714287,4.964823915772139,182.00493821849585,54.112423672286816,1394.5084583394216,42.57296577731719,1397.4879472774385,0.568808970336251,0,3
3,D7,31.60739820200085,1918.7784553571423,30.133036452129137,2171.0080556740563,42.5288410551188,2475.482484449002,34.98092094894393,2811.356992322612,-0.0143650250597831,0,-1
4,D8,0.4898766751047871,8.540982142857128,0.4914248962568256,11.456555235685094,12.149050503241812,199.2641048050446,11.452573826170358,199.4000443140104,-0.1122253637172861,0,-1
5,D9,0.4844970842695535,7.723839285714267,0.4862497185877725,10.661844098797005,10.066381966132514,152.45713339894442,9.58326026800346,152.60066844525227,-0.1579639925220749,0,-1
6,D11,0.6573446467684991,16.156517857142813,0.6543586433846263,20.259125426780766,14.060146800741716,322.872360743865,13.1343414808072,323.4045065436236,0.4688542788381951,0,3
7,D12,0.5941568929096929,22.0064732142856,0.591554910280329,27.499655983542105,0.5654796699079147,20.960676425018782,0.5637906178866319,26.89185455899575,0.2963962076639165,1,7
8,D13,3.3212261912171037,248.05950892857143,3.241644740635349,302.2677723366013,1.889961065743596,141.98540269083878,1.8862423941560669,158.13613841507936,0.7104680635034837,1,11
9,D14,3.3088426848580896,194.1081696428573,3.2391575935764423,222.6773725595574,51.57602284270143,2427.9758693375657,40.99066534465285,2431.834035374519,0.8928474365699841,0,7
10,D15,4.580819567716443,363.2345982142856,4.677597522201733,459.6009721145187,99.30416197425797,5340.427080515426,66.32611771814923,5360.118457994291,0.2241073173134188,0,-3
11,D16,2.3707240713598745,72.66870535714283,2.4041186621313315,78.61550881367087,3.3464495026628605,99.85283977309508,3.2886396449075592,102.4880932284748,-0.2233307500361458,0,-3
12,D17,0.4902292136236123,19.91602678571436,0.489952012178852,25.276358958163307,0.5257421324680351,21.349703943309773,0.5251664484458403,25.555170960138625,-0.2347881365934785,0,-1
13,D18,1.4781606997760848,142.56709821428583,1.465996702834629,157.64187438910267,0.8912215632101473,85.47669333436235,0.8841853265259736,122.71120017142174,0.7514299464405274,1,7
14,D19,2.9633676308885604,79.34700892857138,3.015778608183896,85.94149156135987,62.878553956485895,1263.4171708900938,47.8363370332437,1263.7493600781318,0.0167162989196114,0,-1
15,D20,2.0569173681105024,220.4053571428572,2.0849236956810726,251.46956687364,1.03731025826052,110.20740615934652,1.036043238584429,125.544209098876,0.918076652562083,1,-9
16,D21,2.9192692622075005,77.81629464285713,2.9702761934635618,84.43323808389367,80.79652317588764,1513.3293456170677,57.54657964274668,1513.603813831267,0.020959542007797,0,-1
17,D28,1.1391541048727392,4.864977678571437,1.1462436435907717,5.794820293608091,65.2161302227115,412.49666070899286,96.78250170783504,412.51535099283694,-0.4633099937046144,0,-1
18,D29,4.146631716123821,275.03892857142864,4.049823967208594,296.19455010440583,27.708192739916125,1642.5678691238788,24.325922421914157,1647.0071196191343,0.5010448409157715,0,5
19,D30,1.0676751666676765,6.564343749999986,1.0721888408167164,7.544289959611741,48.19775009937422,389.56716759388985,63.50868698834445,389.6053931659092,-0.359105549031355,0,-1
20,D31,3.701400305517304,80.26169642857157,3.6124321334058296,92.86140628231908,1.4670074211538755,32.265025853805355,1.4553174180877435,39.145077772792334,0.7037404661274895,1,5
21,D32,3.6864940569890834,72.51772321428572,3.598287832347983,83.87331081054656,2.1283550736006407,42.27867433299743,2.112695980097267,48.69812091495515,0.2296073487339009,1,5
22,D33,2.767789259068867,184.3237375,2.8218959722774004,217.94873489567385,0.9218907792948164,60.97254080055024,0.9141212459835236,104.22366357667872,0.6422551244782729,1,1
23,D34,0.3129011212902206,7.174732142857108,0.3125010684756916,8.921900406518741,44.30020735479387,832.4903805117457,36.26683545659994,832.5142083556167,0.6671793610915272,0,13
24,D35,4.64580704215956,74.94571428571432,4.796722398953335,87.22694198777091,1.1335812941410286,18.00463955771342,1.1426985502106113,27.319120352961143,0.8483337369355186,1,-13
25,D36,2.6170352186477057,97.4254910714286,2.6658060423659378,114.88313191077422,0.2510068550129718,9.25372024368406,0.2516741686181996,14.070969801224006,0.9691824688297748,1,-13
26,D44,1.1542398851510234,100.46625000000014,1.1401098800796807,148.1364058506114,0.3122385122855693,27.27919469779395,0.3109458140074245,45.77947052866118,0.9536926308004084,1,9
27,D50,2.3534801655169493,231.3433492857145,2.396650384431042,285.7511180713165,195.94728916255744,9654.891134246178,98.97644968964308,9655.925383836968,-0.7313436552735828,0,-7
28,D55,0.8100269511689326,8.744598214285734,0.8144655097154004,10.233915612645111,0.3198734959939034,3.441598057716029,0.3203630237101484,4.413132021781927,0.3498924495453808,1,1
29,D56,3.193253271182249,332.1571428571428,3.251564243871825,351.3686171569223,37.58700572650917,3243.1681996129423,31.637728692124057,3244.8542649204583,0.0386010939010003,0,1
30,D64,5.327434272816993,58.05290178571431,5.208559443235851,70.31613289721943,3.333939937894685,36.52511660723407,3.281932768194297,43.45954063058951,0.8708817273173941,1,3
31,D66,1.4713757629044346,20.832455357142845,1.4639934581002216,24.96640983524429,0.3115363543548217,4.41547370948066,0.3119572630639989,5.930882035992214,0.9618924832811356,1,3
32,D70,2.720008675906197,110.12004464285714,2.76936805458103,131.44927812342118,89.90705560486357,2483.0566762916933,62.022358383040284,2483.787787634701,-0.1264485971151784,0,-3
33,D99,2.0800568770525776,210.9625442857145,2.0503917747043925,249.5258376186496,0.8202284487351977,82.92140643136658,0.8205596256908146,112.16744295813658,0.80855195801886,1,7
34,D100,1.8418491157469907,17.117691964285736,1.8608338497557104,17.991927223747044,10.156735055520508,89.12197693914904,9.663475776216696,89.38801628677676,0.5952227383121339,0,-1
35,D101,3.4597631016017574,426.1339285714288,3.386973108777992,478.3127339943149,17.075124409032476,1962.275861259912,15.715097868341353,1979.370591575912,0.4858517939704718,0,5
36,D102,3.624666481529721,60.34258928571429,3.544934094388754,67.63062714738207,14.67178827658285,230.7208564096703,13.651528419885592,233.37510940229708,0.4148796921893732,0,5
37,D103,1.2867399328728188,94.04410714285716,1.275720976116457,109.38208613677992,4.235654383049062,305.0182967180587,4.145822630139994,308.7472490270404,0.0369848256011029,0,1
38,D104,3.6957413611710415,338.63156249999975,3.774024734566835,358.51043196621083,27.35211998462369,2166.86311286056,24.05797878433314,2168.896922195808,-0.3882907162217167,0,-7
39,D105,1.7899098682551264,197.09821428571416,1.8081293127080085,209.96110287618063,20.529808602034997,2032.5719883820827,18.617684907830416,2033.335309651584,-0.3868353195315305,0,-3
40,D106,0.6589551634635952,6.363241071428571,0.6557056972753895,8.04272708555102,0.8096529854074027,7.821274339010943,0.8121594728112411,9.89862656037205,0.8063551154782232,0,7
41,D107,0.72003043268176,6.896339285714289,0.7157305897920229,8.98057061573837,3.7977857074120873,37.00145665629281,3.875548786362659,37.99707121895223,0.8243209141136306,0,7
42,D108,0.7053653909118716,9.36406250000003,0.7021022752330776,10.769865496749755,13.618913342303935,169.68908291246083,12.749258727542138,169.86890160842154,0.7326498941944376,0,5
43,D109,0.8054444319025984,10.257901785714289,0.8013595896721961,11.560845930192622,12.039403740068028,145.04804185266696,11.354378798769629,145.2418335857622,0.7059495526179715,0,5
44,D110,0.7991781202594297,10.751785714285736,0.7951557336736211,12.119087250335737,14.105764586041817,177.76896989102832,13.175051431536463,177.9454676943306,0.713868217449316,0,5
